water_depth_min,water_depth_max,profile,num_rays,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bot,DC_avgrad_top,DC_avgrad_bot
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
350,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,450,Mediterranean Sea Winter,1000,450,0.008367009411765,,,,,
450,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
450,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
