water_depth_min,water_depth_max,wedge_slope,source_depth,profile,bottom_type,num_rays,len_slope,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bot,DC_avgrad_top,DC_avgrad_bot,SSP_wmin,SSP_wmax,SSP_src,SSP_dcax,SSP_dcb,SSP_dct,SSP_sld
250,1500,2,50,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1512.465273,,,,1531.729727
250,1500,2,70,Mediterranean Sea Winter,1,1000,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1512.795898,,,,1531.729727
250,1500,2,100,Mediterranean Sea Winter,1,1000,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1512.945547,,,,1531.729727
250,1500,2,150,Mediterranean Sea Winter,1,1500,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1513.331953,,,,1531.729727
250,1500,2,200,Mediterranean Sea Winter,1,1000,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1513.696211,,,,1531.729727
250,1500,2,300,Mediterranean Sea Winter,1,500,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1514.516523,,,,1531.729727
250,1500,2,15,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1512.1807815,,,,1531.729727
250,1500,2,30,Mediterranean Sea Winter,2,1000,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1512.273516,,,,1531.729727
250,1500,2,50,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1512.465273,,,,1531.729727
250,1500,2,70,Mediterranean Sea Winter,2,1500,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1512.795898,,,,1531.729727
250,1500,2,100,Mediterranean Sea Winter,2,1000,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1512.945547,,,,1531.729727
250,1500,2,150,Mediterranean Sea Winter,2,2000,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1513.331953,,,,1531.729727
250,1500,2,200,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1513.696211,,,,1531.729727
250,1500,2,300,Mediterranean Sea Winter,2,500,35795.0,1500.0,0.01201489789473698,,,,,,1514.141406,1531.729727,1514.516523,,,,1531.729727
350,1500,-2,15,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.1807815,,,,1531.729727
350,1500,-2,30,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.273516,,,,1531.729727
350,1500,-2,50,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.465273,,,,1531.729727
350,1500,-2,70,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.795898,,,,1531.729727
350,1500,-2,100,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.945547,,,,1531.729727
350,1500,-2,150,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1513.331953,,,,1531.729727
350,1500,-2,200,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1513.696211,,,,1531.729727
350,1500,-2,300,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1514.516523,,,,1531.729727
350,1500,-2,15,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.1807815,,,,1531.729727
350,1500,-2,30,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.273516,,,,1531.729727
350,1500,-2,50,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.465273,,,,1531.729727
350,1500,-2,70,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.795898,,,,1531.729727
350,1500,-2,100,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.945547,,,,1531.729727
350,1500,-2,150,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1513.331953,,,,1531.729727
350,1500,-2,200,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1513.696211,,,,1531.729727
350,1500,-2,300,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1514.516523,,,,1531.729727
350,350,0,15,Mediterranean Sea Winter,1,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.1807815,,,,1515.0100585
350,350,0,30,Mediterranean Sea Winter,1,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.273516,,,,1515.0100585
350,350,0,50,Mediterranean Sea Winter,1,1500,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.465273,,,,1515.0100585
350,350,0,70,Mediterranean Sea Winter,1,1500,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.795898,,,,1515.0100585
350,350,0,100,Mediterranean Sea Winter,1,1500,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.945547,,,,1515.0100585
350,350,0,150,Mediterranean Sea Winter,1,1500,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1513.331953,,,,1515.0100585
350,350,0,200,Mediterranean Sea Winter,1,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1513.696211,,,,1515.0100585
350,350,0,300,Mediterranean Sea Winter,1,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1514.516523,,,,1515.0100585
350,350,0,15,Mediterranean Sea Winter,2,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.1807815,,,,1515.0100585
350,350,0,30,Mediterranean Sea Winter,2,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.273516,,,,1515.0100585
350,350,0,50,Mediterranean Sea Winter,2,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.465273,,,,1515.0100585
350,350,0,70,Mediterranean Sea Winter,2,1500,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.795898,,,,1515.0100585
350,350,0,100,Mediterranean Sea Winter,2,1500,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1512.945547,,,,1515.0100585
350,350,0,150,Mediterranean Sea Winter,2,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1513.331953,,,,1515.0100585
350,350,0,200,Mediterranean Sea Winter,2,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1513.696211,,,,1515.0100585
350,350,0,300,Mediterranean Sea Winter,2,1000,0.0,350.0,0.008144850000000486,,,,,,1515.0100585,1515.0100585,1514.516523,,,,1515.0100585
350,1500,2,15,Mediterranean Sea Winter,1,2000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.1807815,,,,1531.729727
350,1500,2,30,Mediterranean Sea Winter,1,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.273516,,,,1531.729727
350,1500,2,50,Mediterranean Sea Winter,1,1500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.465273,,,,1531.729727
350,1500,2,70,Mediterranean Sea Winter,1,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.795898,,,,1531.729727
350,1500,2,100,Mediterranean Sea Winter,1,1500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.945547,,,,1531.729727
350,1500,2,150,Mediterranean Sea Winter,1,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1513.331953,,,,1531.729727
350,1500,2,200,Mediterranean Sea Winter,1,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1513.696211,,,,1531.729727
350,1500,2,300,Mediterranean Sea Winter,1,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1514.516523,,,,1531.729727
350,1500,2,15,Mediterranean Sea Winter,2,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.1807815,,,,1531.729727
350,1500,2,30,Mediterranean Sea Winter,2,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.273516,,,,1531.729727
350,1500,2,50,Mediterranean Sea Winter,2,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.465273,,,,1531.729727
350,1500,2,70,Mediterranean Sea Winter,2,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.795898,,,,1531.729727
350,1500,2,100,Mediterranean Sea Winter,2,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1512.945547,,,,1531.729727
350,1500,2,150,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1513.331953,,,,1531.729727
350,1500,2,200,Mediterranean Sea Winter,2,1000,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1513.696211,,,,1531.729727
350,1500,2,300,Mediterranean Sea Winter,2,500,32932.0,1500.0,0.01201489789473698,,,,,,1515.0100585,1531.729727,1514.516523,,,,1531.729727
450,1500,-2,15,Mediterranean Sea Winter,1,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.1807815,,,,1531.729727
450,1500,-2,30,Mediterranean Sea Winter,1,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.273516,,,,1531.729727
