,water_depth_min,water_depth_max,wedge_slope,source_depth,bottom_type,len_slope,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bot,DC_avgrad_top,DC_avgrad_bot,SSP_wmin,SSP_wmax,SSP_src,SSP_dcax,SSP_dcb,SSP_dct,SSP_sld,Autumn,Spring,Summer,Winter,Labrador-Sea,Mediterranean-Sea,North-Pacific-Ocean,Norwegian-Sea,South-Atlantic-Ocean,South-Pacific-Ocean
2075,900,1500,2,150,2,17182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.953711,1493.553242,1510.056563,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2076,450,1500,2,150,1,30068.0,0.0,0.0,70.0,10.0,250.0,-0.01781952999999703,0.01246323066666749,1471.7254495,1482.272617,1465.418359,1465.026367,1467.779727,1466.729375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2077,600,1500,2,30,1,25773.0,0.0,0.0,125.0,20.0,500.0,-0.05824202733333382,0.01886406000000079,1473.35125,1482.290938,1472.106406,1465.369141,1472.388281,1472.135078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2078,450,450,0,200,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.682539,1477.682539,1478.931289,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2079,1050,1500,-2,15,1,12886.0,0.0,0.0,70.0,10.0,250.0,-0.01781952999999703,0.01246323066666749,1477.1178125,1482.272617,1466.723047,1465.026367,1467.779727,1466.729375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2080,150,1500,2,200,2,38659.0,0.0,0.0,125.0,20.0,1500.0,-0.2967176319999998,0.01343080428571446,1513.039727,1531.742461,1513.356836,1512.989531,1531.742461,1535.819297,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2081,50,1500,-2,15,1,41523.0,1500.0,0.01201489789473698,0.0,0.0,0.0,0.0,0.0,1512.465273,1531.729727,1512.1807815,0.0,0.0,0.0,1531.729727,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2082,450,1500,2,70,2,30068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.1816405,1469.939883,1483.143242,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2083,750,750,0,200,1,0.0,0.0,0.0,500.0,200.0,750.0,-0.00992005000000063,0.009038278000000902,1476.9211325,1476.9211325,1477.637578,1474.661563,1476.9211325,1477.637578,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2084,900,1500,-2,150,2,17182.0,0.0,0.0,70.0,10.0,250.0,-0.01781952999999703,0.01246323066666749,1475.620703,1482.272617,1465.418359,1465.026367,1467.779727,1466.729375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2085,150,150,0,30,1,0.0,150.0,0.008055512727273569,0.0,0.0,0.0,0.0,0.0,1513.331953,1513.331953,1512.273516,0.0,0.0,0.0,1513.331953,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2086,900,1500,2,50,1,17182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.797266,1493.999375,1524.978359,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2087,450,1500,-2,70,1,30068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.354863,1470.076484,1481.22625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2088,600,1500,2,15,2,25773.0,200.0,0.030869508888888,0.0,0.0,0.0,0.0,0.0,1475.661914,1483.719805,1473.2720705,0.0,0.0,0.0,1479.334844,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2089,900,900,0,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.231602,1464.231602,1476.8904885,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2090,250,1500,2,50,1,35795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.2459375,1485.604453125,1494.409921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2091,1050,1500,2,30,1,12886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.091172,1493.999375,1531.663086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2092,750,750,0,50,2,0.0,0.0,0.0,125.0,30.0,750.0,-0.190269115000001,0.01043266384615436,1519.7205665,1519.7205665,1517.786484,1512.989531,1519.7205665,1528.59418,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2093,900,1500,2,50,1,17182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.231602,1470.093633,1476.185977,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2094,1050,1500,2,15,1,12886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.417383,1493.553242,1524.8044335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2095,450,450,0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.3675395,1473.3675395,1470.970039,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2096,900,900,0,150,2,0.0,0.0,0.0,125.0,20.0,500.0,-0.05824202733333382,0.01886406000000079,1475.475234,1475.475234,1465.895625,1465.369141,1472.388281,1472.135078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2097,350,350,0,100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479.47681640625,1479.47681640625,1482.3615234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2098,1200,1500,-2,200,2,8591.0,0.0,0.0,250.0,70.0,1500.0,-0.06172942708333329,0.005886812499999905,1482.2159375,1485.604453125,1478.5412890625,1478.2459375,1485.604453125,1487.220546875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2099,250,1500,2,300,2,35795.0,0.0,0.0,125.0,20.0,500.0,-0.05824202733333382,0.01886406000000079,1467.476133,1482.290938,1469.319102,1465.369141,1472.388281,1472.135078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2100,150,150,0,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.895625,1465.895625,1472.124492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2101,1200,1500,2,200,2,8591.0,300.0,0.03504988119047561,0.0,0.0,0.0,0.0,0.0,1466.181367,1470.175508,1480.354609,0.0,0.0,0.0,1480.994766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2102,350,1500,-2,300,1,32932.0,0.0,0.0,250.0,70.0,1500.0,-0.06172942708333329,0.005886812499999905,1479.47681640625,1485.604453125,1478.7901171875,1478.2459375,1485.604453125,1487.220546875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2103,250,1500,2,15,2,35795.0,300.0,0.03504988119047561,0.0,0.0,0.0,0.0,0.0,1480.969023,1470.175508,1473.5428905,0.0,0.0,0.0,1480.994766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2104,600,1500,2,30,1,25773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.957695,1493.63168,1529.973867,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2105,50,1500,2,100,1,41523.0,0.0,0.0,250.0,70.0,1500.0,-0.06172942708333329,0.005886812499999905,1494.409921875,1485.604453125,1482.3615234375,1478.2459375,1485.604453125,1487.220546875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2106,450,1500,2,100,1,30068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1474.888125,1483.797305,1477.409297,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2107,450,450,0,30,2,0.0,300.0,0.03504988119047561,0.0,0.0,0.0,0.0,0.0,1479.513672,1479.513672,1474.271328,0.0,0.0,0.0,1480.994766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2108,50,1500,2,50,1,41523.0,0.0,0.0,70.0,50.0,100.0,-0.01411130000000185,0.01135286666666768,1463.768867,1482.35875,1463.768867,1463.486641,1463.827227,1463.768867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2109,750,1500,-2,30,2,21477.0,70.0,0.03275364999999937,0.0,0.0,0.0,0.0,0.0,1469.775625,1469.939883,1482.526172,0.0,0.0,0.0,1483.143242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2110,450,450,0,300,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.3675395,1473.3675395,1471.801523,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2111,750,750,0,300,2,0.0,750.0,0.009451125217391616,0.0,0.0,0.0,0.0,0.0,1519.770215,1519.770215,1514.516523,0.0,0.0,0.0,1519.770215,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2112,350,1500,-2,100,2,32932.0,0.0,0.0,100.0,0.0,950.0,-0.1380200083333331,0.01228834777777744,1514.8581835,1531.777734,1512.183359,1512.183359,1522.785176,1522.055742,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2113,450,450,0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.787539,1470.787539,1463.674258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2114,150,1500,2,200,1,38659.0,0.0,0.0,150.0,0.0,1200.0,-0.06783950399999927,0.01287235809523801,1513.334883,1531.869609,1513.510469,1513.334883,1526.850859,1526.793047,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2115,750,1500,2,100,2,21477.0,200.0,0.030869508888888,0.0,0.0,0.0,0.0,0.0,1476.7236325,1483.719805,1477.321953,0.0,0.0,0.0,1479.334844,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2116,150,150,0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1513.039727,1513.039727,1528.59418,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2117,750,1500,-2,100,1,21477.0,0.0,0.0,100.0,0.0,950.0,-0.1380200083333331,0.01228834777777744,1519.6938475,1531.777734,1512.183359,1512.183359,1522.785176,1522.055742,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2118,1200,1500,-2,100,1,8591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.979336,1493.553242,1514.305742,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2119,750,750,0,150,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.8970705,1492.8970705,1509.872969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2120,250,1500,2,30,1,35795.0,300.0,0.03504988119047561,0.0,0.0,0.0,0.0,0.0,1480.969023,1470.175508,1474.271328,0.0,0.0,0.0,1480.994766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2121,350,1500,-2,150,1,32932.0,1500.0,0.01201489789473698,0.0,0.0,0.0,0.0,0.0,1515.0100585,1531.729727,1513.331953,0.0,0.0,0.0,1531.729727,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2122,600,1500,2,15,2,25773.0,0.0,0.0,150.0,0.0,1200.0,-0.06783950399999927,0.01287235809523801,1517.753789,1531.869609,1526.732051,1513.334883,1526.850859,1526.793047,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2123,250,250,0,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.636797,1505.636797,1534.192539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2124,250,250,0,30,1,0.0,50.0,0.02309990714285927,0.0,0.0,0.0,0.0,0.0,1476.038047,1476.038047,1483.595,0.0,0.0,0.0,1484.245547,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2125,1200,1500,2,70,2,8591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.823906,1493.63168,1517.025352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
